loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,stimulus.stopped,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6,0,6,0,17,0,17,0,,,,,,,17,,,1,2742.256764730555,X,l,go,l,1,0.29820967646082863,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,18,0,18,0,,,,,,,18,,,1,2743.657866015943,Y,d,go,d,1,0.337246786308242,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,19,0,19,0,,,,,,,19,,,1,2745.1089585982845,Y,None,nogo,l,0,0.26227268934599124,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,20,0,20,0,,,,,,,20,,,1,2746.4766892008192,X,l,go,l,1,0.2378217683872208,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,21,0,21,0,,,,,,,21,,,1,2747.8275737345684,Y,d,go,d,1,0.19958611347828992,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,22,0,22,0,,,,,,,22,,,1,2749.128562001715,X,l,go,l,1,0.33847490811604075,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,23,0,23,0,,,,,,,23,,,1,2750.5797020992322,Y,d,go,None,0,,,,,2751.3802527904336,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,24,0,24,0,,,,,,,24,,,1,2752.3807618815626,X,l,go,l,1,0.2696850565553177,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,25,0,25,0,,,,,,,25,,,1,2753.765491280239,Y,d,go,d,1,0.3890572356758639,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,26,0,26,0,,,,,,,26,,,1,2755.266792371782,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,27,0,27,0,,,,,,,27,,,1,2757.0677338510286,X,l,go,l,1,0.3033253152971156,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,28,0,28,0,,,,,,,28,,,1,2758.4854921141814,Y,d,go,d,1,0.3085117420705501,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,29,0,29,0,,,,,,,29,,,1,2759.9032683167316,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,30,0,30,0,,,,,,,30,,,1,2761.7046553719556,X,l,go,l,1,0.27376505854772404,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,31,0,31,0,,,,,,,31,,,1,2763.0891748311114,Y,d,go,d,1,0.2818707594415173,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,32,0,32,0,,,,,,,32,,,1,2764.473668593302,X,l,go,l,1,0.4810204317618627,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,33,0,33,0,,,,,,,33,,,1,2766.0582065736817,Y,d,go,d,1,0.353003884840291,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,34,0,34,0,,,,,,,34,,,1,2767.525649709394,X,l,go,l,1,0.34099418204277754,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,35,0,35,0,,,,,,,35,,,1,2768.9770099282323,X,None,nogo,d,0,0.29821549463667907,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
,,,,,,,,,,,,6,0,6,0,36,0,36,0,,,,,,,36,,,1,2770.378072910564,Y,d,go,d,1,0.1928147162834648,,,,,,,,,,,,,,,,,13,001,19,w,Psychologie,2023-01-11_09h04.03.547,00_bat_bachelor,2022.2.4,59.88099281817125,
