loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,4,0,4,0,15,0,15,0,,,,,,,15,,,1,1427.9773367162852,X,d,go,d,1,,0.29572011559503153,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,16,0,16,0,,,,,,,16,,,1,1429.3785175168596,Y,l,go,l,1,,0.31826849016943015,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,17,0,17,0,,,,,,,17,,,1,1430.8131097275764,X,d,go,d,1,,0.30855648548458703,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,18,0,18,0,,,,,,,18,,,1,1432.2308001118945,X,None,nogo,None,1,1433.031154439348,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,19,0,19,0,,,,,,,19,,,1,1434.0319219548837,Y,l,go,l,1,,0.2731693167879712,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,20,0,20,0,,,,,,,20,,,1,1435.4161572926678,X,d,go,d,1,,0.28076689623412676,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,21,0,21,0,,,,,,,21,,,1,1436.8000944485248,Y,l,go,l,1,,0.3510069302865304,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,22,0,22,0,,,,,,,22,,,1,1438.2844830470276,X,d,go,d,1,,0.2601719771628268,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,23,0,23,0,,,,,,,23,,,1,1439.6521612858924,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,24,0,24,0,,,,,,,24,,,1,1441.4538634927885,Y,l,go,l,1,,0.402963803964667,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,25,0,25,0,,,,,,,25,,,1,1442.9713677436812,X,d,go,d,1,,0.2618350082775578,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,26,0,26,0,,,,,,,26,,,1,1444.3392685281287,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,27,0,27,0,,,,,,,27,,,1,1446.140446128702,Y,l,go,l,1,,0.25985052244504914,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,28,0,28,0,,,,,,,28,,,1,1447.5084346707445,X,d,go,d,1,,0.26753392012324184,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,29,0,29,0,,,,,,,29,,,1,1448.8928736450325,X,None,nogo,None,1,1449.693175608816,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,30,0,30,0,,,,,,,30,,,1,1450.694360579073,Y,l,go,l,1,,0.2824231394624803,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,31,0,31,0,,,,,,,31,,,1,1452.0786754320725,X,d,go,d,1,,0.2906335676962044,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,32,0,32,0,,,,,,,32,,,1,1453.4797224143986,Y,l,go,l,1,,0.31362363943480887,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,33,0,33,0,,,,,,,33,,,1,1454.8975810412376,X,d,go,d,1,,0.2387804516183678,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,34,0,34,0,,,,,,,34,,,1,1456.2484927265323,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,35,0,35,0,,,,,,,35,,,1,1458.049791054451,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,36,0,36,0,,,,,,,36,,,1,1459.8513492612692,Y,l,go,l,1,,0.310301456018351,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,37,0,37,0,,,,,,,37,,,1,1461.268797706085,X,d,go,d,1,,0.2675276171066798,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,38,0,38,0,,,,,,,38,,,1,1462.6533986198192,Y,l,go,l,1,,0.3386011060792953,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,39,0,39,0,,,,,,,39,,,1,1464.1044495051901,X,d,go,d,1,,0.2963736917008646,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,40,0,40,0,,,,,,,40,,,1,1465.505660851224,Y,l,go,l,1,,0.2403295432741288,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,41,0,41,0,,,,,,,41,,,1,1466.8565710819676,X,d,go,d,1,,0.29689247978967614,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,42,0,42,0,,,,,,,42,,,1,1468.257688367361,Y,l,go,l,1,,0.28677708096802235,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,43,0,43,0,,,,,,,43,,,1,1469.658746501198,Y,None,nogo,d,0,,0.26269028140814044,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,44,0,44,0,,,,,,,44,,,1,1471.0263597703597,X,d,go,d,1,,0.3348241345665883,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,45,0,45,0,,,,,,,45,,,1,1472.477589080052,Y,l,go,l,1,,0.2915363560023252,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,46,0,46,0,,,,,,,46,,,1,1473.8789676988963,X,d,go,d,1,,0.44222879270091653,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,47,0,47,0,,,,,,,47,,,1,1475.4294673597324,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,48,0,48,0,,,,,,,48,,,1,1477.2309416877397,Y,l,go,l,1,,0.3536469315586146,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,49,0,49,0,,,,,,,49,,,1,1478.6989811873937,X,d,go,d,1,,0.32686194888083264,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
,,,,,,,,,,,,4,0,4,0,50,0,50,0,,,,,,,50,,,1,1480.133383822249,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,16,001,20,w,Psychologie,2023-01-12_08h58.45.337,00_bat_bachelor,2022.2.4,59.865350069776945,
