loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,4,0,4,0,30,0,30,0,,,,,,,30,,,1,1773.2559824213422,Y,d,go,d,1,,0.37090790221918724,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,31,0,31,0,,,,,,,31,,,1,1774.6568918027187,X,l,go,l,1,,0.3780036563548492,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,32,0,32,0,,,,,,,32,,,1,1776.0578394871081,X,None,nogo,l,0,,0.7045290737951291,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,33,0,33,0,,,,,,,33,,,1,1777.7924912521266,Y,d,go,d,1,,0.39429892118278076,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,34,0,34,0,,,,,,,34,,,1,1779.210491534308,X,l,go,l,1,,0.3835241385277186,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,35,0,35,0,,,,,,,35,,,1,1780.6115895216535,X,None,nogo,l,0,,0.7438895395607688,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,36,0,36,0,,,,,,,36,,,1,1782.3793195736616,Y,d,go,d,1,,0.4157093350440846,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,37,0,37,0,,,,,,,37,,,1,1783.8138716053945,X,l,go,l,1,,0.43665332488671993,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,38,0,38,0,,,,,,,38,,,1,1785.2815731968112,Y,d,go,d,1,,0.37780632311842055,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
,,,,,,,,,,,,4,0,4,0,39,0,39,0,,,,,,,39,,,1,1786.6828142143931,Y,None,nogo,None,1,1787.4834969776966,,,,,,,,,,,,,,,,,,1,001,2022-12-14_13h57.43.768,00_bat_bachelor,2022.2.4,59.825469248503715,
