loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus.stopped,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,9,,,1,1277.2746573213954,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,10,,,1,1279.0758389935363,,Y,l,go,l,1,0.4810646950500086,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,11,,,1,1280.6605412554927,,X,d,go,d,1,0.3842768631875515,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,12,,,1,1282.1614539822913,,Y,l,go,l,1,0.5480988443596289,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,13,,,1,1283.8129290603683,,X,d,go,d,1,0.4809623920591548,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,14,,,1,1285.3973942315788,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,15,,,1,1287.1987582066795,,X,None,nogo,None,1,,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,16,,,1,1289.0000189090497,,Y,l,go,l,1,0.3169862291542813,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,17,,,1,1290.417760767159,,X,d,go,d,1,0.6440924947964959,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,18,,,1,1292.1692871906562,,Y,l,go,l,1,0.5243087952840142,,,,,,,,,,,,,,,,22,001,20,w,Psychologie,2023-01-16_15h30.36.290,00_bat_bachelor,2022.2.4,59.950499082230955,
