loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,3,0,3,0,153,0,153,0,,,,,,,153,,,0.2,3360.2373220669106,X,None,nogo,None,1,,3361.0373158608563,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,154,0,154,0,,,,,,,154,,,0.2,3361.2373147939797,Y,l,go,l,1,0.43137885071337223,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,155,0,155,0,,,,,,,155,,,0.2,3361.9709284990095,X,d,go,d,1,0.4814840382896364,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,156,0,156,0,,,,,,,156,,,0.2,3362.753969089128,X,None,nogo,None,1,,3363.554091852624,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,157,0,157,0,,,,,,,157,,,0.2,3363.7542900585104,Y,l,go,l,1,0.39368529291823506,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,158,0,158,0,,,,,,,158,,,0.2,3364.4542504465207,X,d,go,d,1,0.5100852367468178,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,159,0,159,0,,,,,,,159,,,0.2,3365.270632596221,Y,l,go,l,1,0.5573113956488669,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,160,0,160,0,,,,,,,160,,,0.2,3366.137639690889,X,d,go,d,1,0.45781132276169956,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,161,0,161,0,,,,,,,161,,,0.2,3366.920646826504,Y,l,go,l,1,0.459536412730813,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,162,0,162,0,,,,,,,162,,,0.2,3367.687591424212,Y,None,nogo,None,1,,3368.4875837636646,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,163,0,163,0,,,,,,,163,,,0.2,3368.6874270606786,X,d,go,d,1,0.324893084121868,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,164,0,164,0,,,,,,,164,,,0.2,3369.320907480782,Y,l,go,l,1,0.4747674355749041,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,165,0,165,0,,,,,,,165,,,0.2,3370.104284070665,X,d,go,d,1,0.539540252648294,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,166,0,166,0,,,,,,,166,,,0.2,3370.9542434161995,Y,l,go,l,1,0.5535412156023085,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,167,0,167,0,,,,,,,167,,,0.2,3371.8209149960894,Y,None,nogo,None,1,,3372.621149759507,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,168,0,168,0,,,,,,,168,,,0.2,3372.820915965596,X,d,go,d,1,0.36757039674557745,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,169,0,169,0,,,,,,,169,,,0.2,3373.5040972102433,Y,l,go,l,1,0.5482224302832037,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,170,0,170,0,,,,,,,170,,,0.2,3374.3542960707564,Y,None,nogo,d,0,0.5131509322673082,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,171,0,171,0,,,,,,,171,,,0.2,3375.170916280942,Y,None,nogo,None,1,,3375.970743286889,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
,,,,,,,,,,,,3,0,3,0,172,0,172,0,,,,,,,172,,,0.2,3376.170908523258,X,d,go,d,1,0.36131439986638725,,,,,,,,,,,,,,,,90,001,24,m,Psychologie,2023-02-01_12h23.34.428,00_bat_bachelor,2022.2.4,59.97281235077243,
