loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,20,,,1,20341.76488835644,Y,d,go,d,1,,0.30620147089939564,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,21,,,1,20343.18143700296,Y,None,nogo,None,1,20343.981456493842,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,22,,,1,20344.981608251343,X,l,go,l,1,,0.2571566461119801,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,23,,,1,20346.34803958889,Y,d,go,d,1,,0.2827673003775999,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,24,,,1,20347.731200130307,X,l,go,l,1,,0.37084483343642205,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,25,0,25,0,,,,,,,25,,,1,20349.214875047328,Y,d,go,d,1,,0.2478005294688046,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,26,0,26,0,,,,,,,26,,,1,20350.564833180746,Y,None,nogo,None,1,20351.364836671622,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,27,0,27,0,,,,,,,27,,,1,20352.364906489733,X,l,go,l,1,,0.2816046343650669,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,28,0,28,0,,,,,,,28,,,1,20353.748148970655,Y,d,go,d,1,,0.27418839547317475,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,29,0,29,0,,,,,,,29,,,1,20355.131170845474,Y,None,nogo,None,1,20355.93113409402,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,30,0,30,0,,,,,,,30,,,1,20356.931487548398,X,l,go,l,1,,0.2594805237604305,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,31,0,31,0,,,,,,,31,,,1,20358.298156461562,Y,d,go,d,1,,0.26853894372470677,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,32,0,32,0,,,,,,,32,,,1,20359.681343669654,X,l,go,l,1,,0.2777515451889485,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,33,0,33,0,,,,,,,33,,,1,20361.064751968603,Y,d,go,d,1,,0.3018523820210248,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,34,0,34,0,,,,,,,34,,,1,20362.481497948407,X,l,go,l,1,,0.26163325004745275,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,35,0,35,0,,,,,,,35,,,1,20363.84807231615,Y,d,go,d,1,,0.2709767606575042,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,36,0,36,0,,,,,,,36,,,1,20365.231294918223,X,l,go,l,1,,0.23163714341353625,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,37,0,37,0,,,,,,,37,,,1,20366.564649908105,Y,d,go,d,1,,0.14702288142871112,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,38,0,38,0,,,,,,,38,,,1,20367.815026514,X,l,go,l,1,,0.24076829047407955,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,39,0,39,0,,,,,,,39,,,1,20369.16468937474,X,None,nogo,d,0,,0.2181530287489295,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,40,0,40,0,,,,,,,40,,,1,20370.497847031336,Y,d,go,d,1,,0.24545483360998333,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,41,0,41,0,,,,,,,41,,,1,20371.847855589003,X,l,go,l,1,,0.2707149425987154,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,42,0,42,0,,,,,,,42,,,1,20373.231479645357,X,None,nogo,l,0,,0.6308970710961148,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,43,0,43,0,,,,,,,43,,,1,20374.96478983527,Y,d,go,d,1,,0.5624161345185712,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,44,0,44,0,,,,,,,44,,,1,20376.631613269565,X,l,go,l,1,,0.36820338014513254,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,45,0,45,0,,,,,,,45,,,1,20378.114758247393,X,None,nogo,None,1,20378.914672526298,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,46,0,46,0,,,,,,,46,,,1,20379.914782101987,Y,d,go,d,1,,0.3319779431913048,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,47,0,47,0,,,,,,,47,,,1,20381.347781649558,X,l,go,l,1,,0.4658993328921497,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
,,,,,,,,,,,,0,0,0,0,48,0,48,0,,,,,,,48,,,1,20382.91475592018,X,None,nogo,None,1,20383.714754077722,,,,,,,,,,,,,,,,51,001,20,m,Informatik,2023-01-23_14h23.59.266,00_bat_bachelor,2022.2.4,59.95276451128002,
