loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,stimulus.stopped,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,18,,,1,660.931901961565,X,d,go,d,1,0.3866422535502352,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,19,,,1,662.4325184472837,Y,l,go,l,1,0.4380997829430271,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,20,,,1,663.9836436125624,X,d,go,d,1,0.4234743071428966,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,21,,,1,665.5179129957396,X,None,nogo,None,1,,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,22,,,1,667.3195985254715,Y,l,go,l,1,0.26988475036341697,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,23,,,1,668.7039990845951,X,d,go,d,1,0.5818803556903731,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,24,,,1,670.3886817774619,Y,l,go,l,1,0.4819364527647849,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,25,0,25,0,,,,,,,25,,,1,671.9730501426093,X,d,go,d,1,0.5141411056683864,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,26,0,26,0,,,,,,,26,,,1,673.5910665566917,Y,l,go,l,1,0.49538035108707845,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
,,,,,,,,,,,,0,0,0,0,27,0,27,0,,,,,,,27,,,1,675.1922184613941,X,d,go,d,1,0.4465715528349392,,,,,,,,,,,,,,,,,,68,001,23,w,Psychologie,2023-01-25_12h01.46.313,00_bat_bachelor,2022.2.4,59.95386815534916,
