loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.stopped,image_end_screen.stopped,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,28,0,28,0,,,,,,,28,,,1,3779.4442758247606,X,d,go,d,1,0.39683439274085686,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,29,0,29,0,,,,,,,29,,,1,3780.9452198256768,X,None,nogo,d,0,0.5582600038178498,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,30,0,30,0,,,,,,,30,,,1,3782.6131307763717,Y,l,go,l,1,0.37860358717443887,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,31,0,31,0,,,,,,,31,,,1,3784.0978240948607,X,d,go,d,1,0.5259031239547767,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,32,0,32,0,,,,,,,32,,,1,3785.7324254375126,Y,l,go,l,1,0.4438545595476171,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,33,0,33,0,,,,,,,33,,,1,3787.2838223358267,X,d,go,d,1,0.5237358491285704,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,34,0,34,0,,,,,,,34,,,1,3788.9180033144366,Y,l,go,l,1,0.5218851806712337,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,35,0,35,0,,,,,,,35,,,1,3790.552834475471,X,d,go,d,1,0.5827473002864281,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,36,0,36,0,,,,,,,36,,,1,3792.237439745397,X,None,nogo,None,1,,3793.038022339897,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,37,0,37,0,,,,,,,37,,,1,3794.0387530072767,Y,l,go,l,1,0.39355632894148584,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,38,0,38,0,,,,,,,38,,,1,3795.5399054932495,X,d,go,d,1,0.5081886825355468,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,39,0,39,0,,,,,,,39,,,1,3797.1578163954546,Y,l,go,l,1,0.44226183072896674,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,40,0,40,0,,,,,,,40,,,1,3798.7090528087865,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,41,0,41,0,,,,,,,41,,,1,3800.510139646198,X,d,go,d,1,0.36892842628003564,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,42,0,42,0,,,,,,,42,,,1,3801.994615267511,Y,l,go,l,1,0.42144435600494035,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,43,0,43,0,,,,,,,43,,,1,3803.529451180075,Y,None,nogo,l,0,0.4707782220066292,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,44,0,44,0,,,,,,,44,,,1,3805.11373780726,X,d,go,d,1,0.4213469013629947,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,45,0,45,0,,,,,,,45,,,1,3806.6483705681167,Y,l,go,l,1,0.42450326804828364,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,46,0,46,0,,,,,,,46,,,1,3808.1826615104656,X,d,go,d,1,0.601332530437503,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,47,0,47,0,,,,,,,47,,,1,3809.900845479613,Y,l,go,l,1,0.41851053496066015,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,48,0,48,0,,,,,,,48,,,1,3811.4352721796604,Y,None,nogo,None,1,,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,49,0,49,0,,,,,,,49,,,1,3813.2373883514083,X,d,go,d,1,0.34607797987700906,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,50,0,50,0,,,,,,,50,,,1,3814.7052806839056,Y,l,go,l,1,0.3493885285424767,,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,51,0,51,0,,,,,,,51,,,1,3816.173108046656,Y,None,nogo,None,1,,3816.9738933080225,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
,,,,,,,,,,,,0,0,0,0,52,0,52,0,,,,,,,52,,,1,3817.9741546416044,Y,None,nogo,None,1,,3818.77457384202,,,,,,,,,,,,,,,,,4,001,2022-12-16_11h01.16.617,00_bat_bachelor,2022.2.4,59.98039911517736,
