loop_instruction.thisRepN;loop_instruction.thisTrialN;loop_instruction.thisN;loop_instruction.thisIndex;loop_rsi_practice.thisRepN;loop_rsi_practice.thisTrialN;loop_rsi_practice.thisN;loop_rsi_practice.thisIndex;loop_practice.thisRepN;loop_practice.thisTrialN;loop_practice.thisN;loop_practice.thisIndex;loop_exp.thisRepN;loop_exp.thisTrialN;loop_exp.thisN;loop_exp.thisIndex;loop_trials.thisRepN;loop_trials.thisTrialN;loop_trials.thisN;loop_trials.thisIndex;map_condition;map_x_key;map_y_key;key_resp_welcome.started;key_resp_welcome.keys;key_resp_welcome.rt;index;text_empty_rsi_practice.started;text_empty_rsi_practice.stopped;rsi;stimulus.started;stimulus.stopped;stimulus;correct;trial_type;key_resp_trial.keys;key_resp_trial.corr;key_resp_trial.rt;key_resp_instruction_rsi.started;key_resp_instruction_rsi.keys;key_resp_instruction_rsi.rt;key_resp_instruction_rsi.stopped;key_resp_instruction_final.started;key_resp_instruction_final.keys;key_resp_instruction_final.rt;key_resp_break.started;key_resp_break.keys;key_resp_break.rt;key_resp_break.stopped;key_resp_end_screen.started;image_end_screen.started;key_resp_end_screen.keys;participant;session;Alter;Geschlecht (w/m/d/andere);Studiengang;date;expName;psychopyVersion;frameRate
;;;;;;;;;;;;0;0;0;0;15;0;15;0;;;;;;;15;;;1;12.282.175.960.157.000;;X;None;nogo;l;0;0.3541716922627529;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;16;0;16;0;;;;;;;16;;;1;12.296.846.726.377.200;;Y;d;go;d;1;0.3117217734543374;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;17;0;17;0;;;;;;;17;;;1;1.231.101.120.435.820;;X;l;go;l;1;0.41469384473748505;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;18;0;18;0;;;;;;;18;;;1;1.232.617.724.791.400;;Y;d;go;d;1;0.49824095574149396;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;19;0;19;0;;;;;;;19;;;1;12.342.177.264.398.900;;X;l;go;l;1;0.4021222144656349;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;20;0;20;0;;;;;;;20;;;1;12.357.342.866.742.800;;Y;d;go;d;1;0.39074912907381076;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;21;0;21;0;;;;;;;21;;;1;12.372.345.501.892.900;;X;l;go;l;1;0.3785474380274536;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;22;0;22;0;;;;;;;22;;;1;12.387.177.737.125.800;;Y;d;go;d;1;0.49421768497268204;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;23;0;23;0;;;;;;;23;;;1;12.403.178.320.883.100;;X;l;go;l;1;0.30209802053286694;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;24;0;24;0;;;;;;;24;;;1;12.417.344.752.802.400;;Y;d;go;d;1;0.469983999748365;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;25;0;25;0;;;;;;;25;;;1;12.433.176.706.338.500;124.411.777.836.713;Y;None;nogo;None;1;;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;26;0;26;0;;;;;;;26;;;1;12.451.177.400.641.100;;X;l;go;l;1;0.2550628918252187;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;27;0;27;0;;;;;;;27;;;1;12.464.842.373.409.700;;Y;d;go;d;1;0.32874818943673745;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;28;0;28;0;;;;;;;28;;;1;12.479.175.990.702.400;12.487.176.122.581.200;Y;None;nogo;None;1;;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;29;0;29;0;;;;;;;29;;;1;12.497.177.577.125.900;;X;l;go;l;1;0.3583307205408346;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;30;0;30;0;;;;;;;30;;;1;1.251.184.253.971.260;;Y;d;go;d;1;0.42847420170437545;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;31;0;31;0;;;;;;;31;;;1;1.252.718.006.924.590;;X;l;go;l;1;0.44741964705463033;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;32;0;32;0;;;;;;;32;;;1;12.542.676.997.489.900;;X;None;nogo;l;0;0.4325474118377315;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
;;;;;;;;;;;;0;0;0;0;33;0;33;0;;;;;;;33;;;1;12.558.010.832.479.400;;Y;d;go;d;1;0.4822753877379;;;;;;;;;;;;;;;34;1;23;w;Medizin;2023-01-17_14h59.27.512;00_bat_bachelor;04/02/2022;5.999.845.822.345.510
