loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,key_resp_end_screen.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,8,0,8,0,243,0,243,0,,,,,,,243,,,1,3714.1667188685387,Y,d,go,d,1,0.4499392544385046,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,244,0,244,0,,,,,,,244,,,1,3715.6333477494773,Y,None,nogo,None,1,,3716.4333828524686,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,245,0,245,0,,,,,,,245,,,1,3717.4332975193392,X,l,go,l,1,0.33592385007068515,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,246,0,246,0,,,,,,,246,,,1,3718.7996632244904,Y,d,go,d,1,0.5379226843360811,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,247,0,247,0,,,,,,,247,,,1,3720.3664922507014,X,l,go,l,1,0.5392889860086143,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,248,0,248,0,,,,,,,248,,,1,3721.93347254931,X,None,nogo,None,1,,3722.733671046095,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,8,0,8,0,249,0,249,0,,,,,,,249,,,1,3723.733728258172,Y,d,go,d,1,0.4027329972013831,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,9,0,9,0,0,0,0,0,,,,,,,0,,,0.2,3806.2000982302707,X,l,go,l,1,0.4331930889748037,,,,,,,,,3724.1809583699796,space,81.79683006973937,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,9,0,9,0,1,0,1,0,,,,,,,1,,,0.2,3806.849890084937,Y,d,go,d,1,0.32737064617685974,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
,,,,,,,,,,,,9,0,9,0,2,0,2,0,,,,,,,2,,,0.2,3807.3995773096103,X,l,go,l,1,0.3375645757187158,,,,,,,,,,,,,,,,,3,001,2022-12-14_14h24.57.588,00_bat_bachelor,2022.2.4,60.024155189709255,
