loop_instruction.thisRepN;loop_instruction.thisTrialN;loop_instruction.thisN;loop_instruction.thisIndex;loop_rsi_practice.thisRepN;loop_rsi_practice.thisTrialN;loop_rsi_practice.thisN;loop_rsi_practice.thisIndex;loop_practice.thisRepN;loop_practice.thisTrialN;loop_practice.thisN;loop_practice.thisIndex;loop_exp.thisRepN;loop_exp.thisTrialN;loop_exp.thisN;loop_exp.thisIndex;loop_trials.thisRepN;loop_trials.thisTrialN;loop_trials.thisN;loop_trials.thisIndex;map_condition;map_x_key;map_y_key;key_resp_welcome.started;key_resp_welcome.keys;key_resp_welcome.rt;index;text_empty_rsi_practice.started;text_empty_rsi_practice.stopped;rsi;stimulus.started;stimulus;correct;trial_type;key_resp_trial.keys;key_resp_trial.corr;stimulus.stopped;key_resp_trial.rt;key_resp_instruction_rsi.started;key_resp_instruction_rsi.keys;key_resp_instruction_rsi.rt;key_resp_instruction_rsi.stopped;key_resp_instruction_final.started;key_resp_instruction_final.keys;key_resp_instruction_final.rt;key_resp_break.started;key_resp_break.keys;key_resp_break.rt;key_resp_break.stopped;key_resp_end_screen.started;image_end_screen.started;key_resp_end_screen.stopped;image_end_screen.stopped;key_resp_end_screen.keys;participant;session;Alter;Geschlecht (w/m/d/andere);Studiengang;date;expName;psychopyVersion;frameRate
;;;;;;;;;;;;3;0;3;0;118;0;118;0;;;;;;;118;;;0.2;24.239.166.565.252.800;X;d;go;d;1;;0.4851884567178786;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;119;0;119;0;;;;;;;119;;;0.2;2.424.717.240.379.540;X;None;nogo;None;1;24.255.175.949.005.600;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;120;0;120;0;;;;;;;120;;;0.2;2.425.717.804.258.040;Y;l;go;l;1;;0.3152394481585361;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;121;0;121;0;;;;;;;121;;;0.2;2.426.335.089.292.080;X;d;go;d;1;;0.38629832287551835;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;122;0;122;0;;;;;;;122;;;0.2;24.270.357.735.584.200;X;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;123;0;123;0;;;;;;;123;;;0.2;24.280.365.284.671.400;Y;l;go;l;1;;0.33366368169663474;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;124;0;124;0;;;;;;;124;;;0.2;24.286.700.985.842.000;X;d;go;d;1;;0.3868093529017642;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;125;0;125;0;;;;;;;125;;;0.2;24.293.707.188.505.700;X;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;126;0;126;0;;;;;;;126;;;0.2;24.303.714.364.260.000;Y;l;go;l;1;;0.318069992295932;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;127;0;127;0;;;;;;;127;;;0.2;2.431.005.396.845.860;X;d;go;d;1;;0.34034537547267973;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;128;0;128;0;;;;;;;128;;;0.2;243.165.557.447.006;Y;l;go;l;1;;0.47419985599117354;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
;;;;;;;;;;;;3;0;3;0;129;0;129;0;;;;;;;129;;;0.2;24.324.398.344.533.900;Y;None;nogo;None;1;;;;;;;;;;;;;;;;;;;33;1;21;w;Psychologie;2023-01-17_14h59.38.704;00_bat_bachelor;04/02/2022;6.000.369.477.484.890
