loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,stimulus.stopped,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,participant,session,Alter,Geschlecht (w/m/d/andere),Studiengang,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7,0,7,0,220,0,220,0,,,,,,,220,,,0.2,21085.264743629145,X,None,nogo,None,1,,21086.064482392976,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,221,0,221,0,,,,,,,221,,,0.2,21086.264683992835,Y,l,go,l,1,0.33029605099000037,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,222,0,222,0,,,,,,,222,,,0.2,21086.89806356444,X,d,go,d,1,0.06455072551034391,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,223,0,223,0,,,,,,,223,,,0.2,21087.264815386618,X,None,nogo,None,1,,21088.06478008977,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,224,0,224,0,,,,,,,224,,,0.2,21088.26450023544,Y,l,go,l,1,0.28254771046340466,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,225,0,225,0,,,,,,,225,,,0.2,21088.848110134248,X,d,go,d,1,0.29151837271638215,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,226,0,226,0,,,,,,,226,,,0.2,21089.44834693405,Y,l,go,l,1,0.4440879956819117,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,227,0,227,0,,,,,,,227,,,0.2,21090.198243782623,Y,None,nogo,None,1,,21090.997749819187,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,228,0,228,0,,,,,,,228,,,0.2,21091.198063903954,X,d,go,d,1,0.14910195698030293,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,229,0,229,0,,,,,,,229,,,0.2,21091.647998715984,Y,l,go,l,1,0.3068793350830674,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,230,0,230,0,,,,,,,230,,,0.2,21092.26448326558,X,d,go,d,1,0.31419763434678316,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,231,0,231,0,,,,,,,231,,,0.2,21092.881419208832,X,None,nogo,l,0,0.4011018348392099,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,232,0,232,0,,,,,,,232,,,0.2,21093.598152922,Y,l,go,None,0,,21094.39813023107,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,233,0,233,0,,,,,,,233,,,0.2,21094.59806661913,X,d,go,None,0,,21095.398049746407,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,234,0,234,0,,,,,,,234,,,0.2,21095.59807098261,Y,l,go,None,0,,21096.39804247371,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,235,0,235,0,,,,,,,235,,,0.2,21096.59778201324,X,d,go,d,1,0.17418218730017543,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,236,0,236,0,,,,,,,236,,,0.2,21097.08162662713,Y,l,go,l,1,0.36241433839313686,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,237,0,237,0,,,,,,,237,,,0.2,21097.74813636439,X,d,go,d,1,0.4148642523214221,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,238,0,238,0,,,,,,,238,,,0.2,21098.464837107807,Y,l,go,l,1,0.11461033741943538,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,239,0,239,0,,,,,,,239,,,0.2,21098.88108126982,X,d,go,l,0,0.05005812621675432,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,240,0,240,0,,,,,,,240,,,0.2,21099.231393342372,Y,l,go,None,0,,21100.031183500076,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,241,0,241,0,,,,,,,241,,,0.2,21100.2315722513,X,d,go,l,0,0.31572442152537405,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,242,0,242,0,,,,,,,242,,,0.2,21100.848060679622,Y,l,go,d,0,0.11412403453141451,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
,,,,,,,,,,,,7,0,7,0,243,0,243,0,,,,,,,243,,,0.2,21101.264587992802,X,d,go,l,0,0.018102747853845358,,,,,,,,,,,,,,,80,001,23,w,"Bildungswissenschaften, Psychologie",2023-01-30_13h52.30.466,00_bat_bachelor,2022.2.4,60.039327554746585,
